STATE,POSTCODE,FIPS,STEMERG,STEMERGEND,STEMERG2,CLSCHOOL,CLDAYCR,OPNCLDCR,CLNURSHM,STAYHOME,STAYHOMENOGP,END_STHM,CLBSNS,CURFEW,END_BSNS,RELIGEX,FM_ALL,FM_ALL2,FMFINE,FMCITE,FMNOENF,FM_EMP,FMENDVAX,FMVAX,FMHIGH,FM_END,FM_END2,FMNOW,FM_STP,FMLOCAL,ALCOPEN,ALCREST,ALCDELIV,GUNOPEN,CANNABIS,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,CLOSEBAR,END_BRS,END_HAIR,END_RELG,ENDRETL,CURFEWEND,BCLBAR2,CLBAR2,CLMV2,CLHAIR2,CLGYM2,CLRST2,ENDREST2,END_BRS2,END_CLGYM2,END_CLHAIR2,END_CLMV2,CLBAR3,CLRST3,END_CLBAR3,END_CLRST3,QRSOMEST,QR_ALLST,QR_END,VAC_PLAN,VAC_HCW,VAC_HCS,VAC_HHC,VAC_AHC,VAC_LTC,VAC_EMS,VAC_FF,VAC_LAW,VAC_CORR,VAC_INC,VAC_SHELTER,VAC_75,VAC_65,VAC_HR,VAC_K12,VAC_HIGHED,VAC_PT,VAC_FOOD,VAC_GROCERY,VAC_ESSWORK,VAC_ADDWORK,VAC_PUB,80DATE,75DATE,70DATE,65DATE,60DATE,55DATE,50DATE,45DATE,40DATE,30DATE,K12DATE,GROCERYDATE,INCDATE,PUBDATE,AGEPRIORITY,RACEPRIORITY,PROOFWORK,PROOFAGE,PROOFRES,PENALTY,EXPANDADMIN,EMSTART,EMEND,EMSTART2,EMEND2,EMSTART3,EMEND3,EMNOW,INITIATIONBANSTART,INITIATIONBANEND,INITIATIONBANSTART2,INITIATIONBANEND2,HEARINGBANSTART,HEARINGBANEND,HEARINGBANSTART2,HEARINGBANEND2,ENFORCEBANSTART,ENFORCEBANEND,ENFORCEBANSTART2,ENFORCEBANEND2,C19START,C19END,C19START2,C19END2,PAYSTART,PAYEND,PAYSTART2,PAYEND2,CARESSTART,CARESEND,CDCSTART,CDCEND,LATESTART,LATEEND,LATESTART2,LATEEND2,SMSTART,SMEND,SMSTART2,URSTART,UREND,SNAPALLO,SNAPEBT20,SNAPEBT21,SNAPEBTSUMMER,SNAPSUSP,SNAPTLW,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,CHIPLKOT,LKOTSUS,TEST,CASE,HOSP,DEATH,VACCINE,TESTAIAN,CASEAIAN,HOSPAIAN,DEATHAIAN,VACCINEAIAN,VISITPER,VISITATT,VISITRES,NOVISIT2,VISITRES2,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,ELECNOSTART,ELECPRCR2,ENDELECP2,WTPRD,WV_WTPRD,REI_WTPRD,WV_WKSR,REI_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDURJAN20,UIMAXDURJUL20,UIMAXDUR21,EBSTART,EBEND,EBSTART2,TUR,TURPRIOR,TURPRIOR2,20EBSTART,20EBEND,20EBSTART2,UIEND,UIMINBP,UIQTRNEED,UIOUTHQBP,UIREQBPL2Q,UIBPEARN300,UITAXWA,UIMINTAXR,UIMAXTAXR,UIAVGBFTAUG,OSHA,STATEDEPT,AEROSOL,VENTILATION,SICKLEAVE19,SICKLEAVE20,RETALIATION,LIABILITY,HCLIABILITY,GOVLIABILITY,WORKERSCOMP,WORKERTYPE,WORKREPORTING,WORKMISSED,WORKINJURY,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,MH19,CASSTATE,AIANRESN,VBMEXC,VBMSIG,VBMPERM,VBMAUTOBAL,VBMAUTOAP,VBMGENELEC,CASCLOSE,CASOPEN,CASCLOSE2,CASOPEN2,CASTRIBCAS,MINWAGEJAN2019,MINWAGEMAR2019,MINWAGEJUL2019,MINWAGEOCT2019,MINWAGEJAN2020,MINWAGEJUL2020,MINWAGESEP2020,MINWAGEOCT2020,TIPMINWAGE2020,MINWAGE2021,SMALLBUSMINWAGE
Mississippi,MS,28,2020-03-14,,,2020-03-20,,,2020-03-24,2020-04-03,,2020-04-27,2020-04-03,2020-05-07,2020-04-27,False,2020-08-05,,False,False,True,2020-05-07,2020-09-30,,,2020-09-30,,False,,,True,2020-03-19,,True,False,2020-04-03,2020-05-07,False,2020-04-03,2020-05-11,2020-04-03,2020-06-01,2020-04-03,2020-06-01,2020-05-11,,2020-04-27,2020-06-15,,,,,,,,,,,,,,,,,,,2021-03-03,1A,1A,1A,1A,1A,1A,1B,1B,2,2,2,1B,1B,1B,1B,2,2,2,2,2,2,2,2021-01-06,2021-01-06,2021-01-06,2021-01-06,2021-03-04,2021-03-04,2021-03-04,2021-03-16,2021-03-16,2021-03-16,2021-03-01,2021-03-16,2021-03-16,2021-03-16,True,False,False,False,False,False,False,2020-04-03,2020-06-01,,,,,False,,,,,,,,,2020-04-03,2020-06-01,,,,,,,,,,,,,,,,,,,2020-03-15,2020-05-27,,,,2020-03-27,2020-06-01,,,2020-04-10,False,2020-03-23,,False,2020-03-16,2020-04-10,False,False,False,True,False,True,True,False,True,False,True,True,2020-03-12,,2021-05-10,,,False,True,False,False,2020-03-19,2020-04-27,,2020-12-15,2021-01-22,False,2020-03-21 00:00:00.000000000,True,True,True,True,False,False,False,235.0,835.0,26,26,26,2020-05-17,2020-12-19,,7.0,125.0,143.0,,,,2021-06-12,1200.0,2,420.0,False,300.0,14000.0,0.0,5.4,184.37,True,False,False,False,False,False,False,True,True,True,False,False,False,5.0,True,True,,,,,2020-03-30,,False,61.66,2986530,48432.0,1184,7.1,19.7,42.5,32301,159.0,True,True,True,False,False,False,False,,2020-03-16,2020-05-21,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,2.13,7.25,False
Missouri,MO,29,2020-03-13,,,2020-03-23,,,2020-03-23,2020-04-06,,2020-05-04,2020-04-03,,2020-05-04,True,,,False,False,True,,,,,,,False,,,True,2020-04-14,,True,False,2020-03-23,2020-05-04,False,2020-04-03,2020-05-04,2020-04-03,2020-05-04,2020-03-23,2020-05-04,2020-05-04,2020-05-27,2020-05-04,,,,,,,,,,,,,,,,,,,,2021-03-03,1A,1A,1A,1A,1A,1A,1B,1B,1B,3,2,1B,1B,1B,1B,2,1B,1B,1B,1B,3,3,2021-01-18,2021-01-18,2021-01-18,2021-01-18,2021-04-09,2021-04-09,2021-04-09,2021-04-09,2021-04-09,2021-04-09,2021-03-15,2021-03-15,2021-04-09,2021-04-09,True,True,False,False,False,False,True,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30,2020-05-15,,,,False,2020-03-25,,False,2020-03-26,2020-03-23,True,True,True,True,False,True,True,True,True,False,True,True,2020-03-12,,2020-06-25,2020-12-30,2021-06-01,True,False,False,False,,,,,,False,2020-03-18 00:00:00.000000000,True,True,True,True,False,False,False,320.0,920.0,20,20,20,2020-05-31,2020-10-10,,7.2,225.0,240.0,,,,2021-06-12,2250.0,2,750.0,False,15000.0,11500.0,0.0,5.4,238.5,True,False,False,False,False,False,False,False,False,False,True,True,True,,True,False,,,,,,,False,87.89,6126452,69707.0,6179,4.2,13.2,40.5,63117,193.7,True,False,False,True,False,False,False,2020-10-21,2020-03-17,2020-06-01,,,False,8.6,8.6,8.6,8.6,9.45,9.45,9.45,9.45,4.73,10.3,True
Montana,MT,30,2020-03-12,2021-06-30,,2020-03-16,,,2020-03-15,2020-03-28,,2020-04-26,2020-03-28,2020-11-20,2020-04-27,False,2020-07-15,,False,False,True,2020-07-15,2021-02-12,,,2021-02-12,,False,,,True,2020-04-27,2020-04-27,True,True,2020-03-20,2020-05-04,False,2020-03-20,2020-05-15,2020-03-20,2020-05-15,2020-03-20,2020-05-04,2020-04-27,2020-04-26,2020-04-27,2021-01-15,,,,,,,,,,,,,,,,,2020-03-30,2020-06-01,2021-03-02,1A,1A,1A,1A,1A,1A,1C,1C,1C,1C,1C,1B,1B,1B,1C,1C,1C,1C,1C,1C,2,2,2021-01-19,2021-01-19,2021-01-19,2021-03-08,2021-03-08,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,True,True,False,False,False,False,False,2020-03-30,2020-05-25,,,,,False,2020-03-30,2020-05-25,,,,,,,2020-03-30,2020-05-25,,,2020-04-13,2020-05-25,,,2020-04-13,2020-05-25,,,,,2021-02-12,,2020-03-30,2020-05-25,,,2020-03-30,2020-05-25,,,,2020-04-01,2020-06-26,,,2020-04-10,True,2020-03-30,,False,2020-03-20,2020-03-19,False,False,False,True,True,True,False,False,True,True,True,False,2020-03-13,2020-03-13,2021-05-06,,,True,False,False,False,,,,,,False,2020-03-17 00:00:00.000000000,True,True,False,True,False,False,False,552.0,1152.0,28,28,28,2020-05-03,2020-11-14,,5.8,166.0,161.0,,,,2021-06-27,2982.0,2,994.0,False,15789.47,34100.0,0.0,6.12,345.61,True,False,False,False,False,False,False,True,True,True,False,False,True,,True,False,,,,,,,True,7.22,1062305,147040.0,1357,3.5,13.0,39.0,9992,295.3,True,True,False,False,False,True,False,,2020-03-20,2020-05-04,,,False,8.5,8.5,8.5,8.5,8.65,8.65,8.65,8.65,4.0,8.75,True
Nebraska,NE,31,2020-03-13,,,2020-04-03,,,,,,,2020-04-09,,2020-06-01,False,,,False,False,True,,,,,,,False,2020-06-18,,True,2020-03-19,2020-03-19,True,True,2020-04-03,2020-06-01,False,2020-04-03,2020-06-01,2020-04-09,2020-06-22,2020-04-03,2020-06-22,2020-06-01,2020-05-04,2020-06-22,,,,,,,,,,,,,,,,,,,,2021-02-22,1A,1A,1A,1A,1A,1A,1B,1B,1B,1C,1C,1B,1B,1B,1B,1B,1B,1B,1B,1B,2,2,2021-01-20,2021-01-20,2021-01-20,2021-01-20,2021-03-22,2021-03-22,2021-03-22,2021-04-05,2021-04-05,2021-04-05,2021-01-20,2021-01-20,2021-03-29,2021-04-05,False,False,False,False,True,False,False,2020-03-25,2020-05-31,,,,,False,,,,,2020-03-25,2020-05-31,,,,,,,2020-03-25,2020-05-31,,,2020-03-25,2020-05-31,,,,,,,,,,,2020-03-24,2020-08-15,,,,2020-04-07,2020-06-16,2021-03-10,,,False,2020-04-02,,False,2020-03-23,2020-03-17,False,False,False,True,True,True,True,False,True,True,True,True,2020-03-16,,2020-07-15,2020-08-07,2021-01-06,True,False,False,False,2020-04-03,2020-05-04,,,,False,2020-03-17 00:00:00.000000000,True,True,True,True,False,False,False,440.0,1040.0,26,26,26,2020-06-14,2020-09-12,,5.2,168.0,179.0,,,,2021-06-19,4324.0,2,800.0,False,31200.0,9000.0,0.0,5.4,290.86,True,False,False,False,False,False,False,False,False,False,False,False,True,,True,True,,,,,,,True,24.94,1929268,77348.0,2365,3.5,11.0,36.6,16904,254.7,True,True,False,False,False,True,True,2020-10-23,,,,,False,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2.13,9.0,True
Nevada,NV,32,2020-03-12,,,2020-03-16,,,,2020-03-31,,2020-05-09,2020-03-21,,2020-05-09,False,2020-06-26,,True,True,False,2020-05-09,2021-05-13,,2021-07-30,,,True,,,False,,,True,True,2020-03-21,2020-05-09,False,2020-03-21,2020-05-29,2020-03-21,2020-05-29,2020-03-21,2020-05-29,2020-05-09,2020-05-29,2020-05-09,,2020-07-10,,,,,,,2020-09-21,,,,,,,,,,,2021-01-12,1A,1A,1A,1A,1A,1A,1B,1B,1B,2,1C,1B,1C,1C,1B,1B,1B,1B,1B,1B,1B,2,2021-01-14,2021-01-14,2021-01-14,2021-02-22,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-01-18,2021-03-02,2021-04-05,2021-04-05,True,False,False,False,False,False,True,2020-03-30,2020-10-15,2020-12-15,2021-05-31,,,False,2020-03-30,2020-10-15,2020-12-15,2021-05-31,2020-03-30,2020-09-01,2020-12-15,2021-05-31,2020-03-30,2020-09-01,2020-12-15,2021-05-31,2020-12-15,2021-05-31,,,2020-09-01,2020-10-15,2020-12-15,2021-05-31,,,2020-12-15,,2020-03-29,2020-09-01,,,,,,,,2020-04-07,2020-07-10,,,2020-05-13,True,2020-04-07,2020-03-17,False,2020-03-17,2020-03-17,True,True,True,True,False,True,True,True,True,False,True,True,2020-03-07,2020-03-07,2021-05-01,,,False,False,False,True,,,,,,False,2020-03-18 00:00:00.000000000,False,True,True,False,False,False,False,469.0,1069.0,26,26,26,2020-05-03,,,,,,2020-06-07,2021-01-16,2021-03-28,,600.0,2,200.0,False,11250.0,32500.0,0.25,5.4,333.17,True,True,False,False,True,True,False,True,False,True,False,False,True,,True,False,,,,,,2020-04-08,True,27.44,3034392,110572.0,7169,5.6,12.9,36.1,24715,211.6,True,True,False,False,False,True,False,,2020-03-17,2020-06-04,,,False,8.25,8.25,8.25,8.25,8.25,9.0,9.0,9.0,8.0,9.0,True
New Hampshire,NH,33,2020-03-13,,,2020-03-16,,,2020-03-16,2020-03-28,,2020-06-16,2020-03-28,,2020-05-11,False,2020-11-20,,False,False,True,2020-05-01,2021-04-16,,,2021-04-16,,False,,,True,2020-03-18,2020-03-18,True,True,2020-03-16,2020-05-18,False,2020-03-28,2020-06-15,2020-03-28,2020-06-29,2020-03-16,2020-06-15,2020-05-11,2020-05-29,2020-05-11,,,,,,,,,,,,,,,,,2020-11-15,,2021-03-11,2021-04-06,1A,1A,1A,1A,1A,1A,1A,1A,1B,3B,3B,1B,1B,3A,2A,3B,3B,3B,3B,3B,3B,3B,2021-01-26,2021-01-26,2021-01-26,2021-01-26,2021-03-22,2021-03-22,2021-03-22,2021-03-29,2021-03-29,2021-03-31,2021-03-17,2021-04-02,2021-04-02,2021-04-02,True,False,False,False,True,False,True,2020-03-17,2020-07-01,,,,,False,2020-03-17,2020-07-01,,,,,,,2020-03-17,2020-07-01,,,,,,,,,,,2020-03-27,,2020-09-08,,,,,,2020-03-17,2020-07-15,,,,2020-04-01,2020-05-12,,,2020-04-13,False,2020-03-23,,False,2020-03-18,2020-03-17,False,False,False,True,True,True,False,False,True,False,True,False,2020-03-16,2020-03-16,2020-08-10,,,False,True,False,False,,,,,,False,2020-03-17 00:00:00.000000000,False,True,True,True,True,True,False,427.0,1027.0,26,26,26,2020-05-10,2020-12-05,,5.5,212.0,220.0,2020-07-05,2020-10-10,,2021-06-19,2800.0,2,1400.0,False,27272.73,14000.0,0.1,7.5,260.53,True,False,False,False,False,False,False,False,False,False,True,True,True,,False,False,,,,,2020-04-06,,True,145.09,1356458,9349.0,1396,3.6,7.6,40.5,12774,307.3,True,False,False,True,False,False,False,,,,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,3.26,7.25,False
New Jersey,NJ,34,2020-03-09,2021-06-04,,2020-03-18,2020-03-18,2020-06-15,2020-06-19,2020-03-21,,2020-06-09,2020-03-21,2020-11-10,2020-05-18,False,2020-04-08,,True,True,False,2020-04-08,2021-05-28,,,2021-05-28,,False,,,True,2020-03-21,2020-03-30,True,True,2020-03-16,2020-06-15,True,2020-03-16,2020-09-01,2020-03-16,2020-09-04,2020-03-16,2020-06-15,2020-06-22,2020-06-09,2020-06-15,2021-02-05,,,,,,,,,,,,,,,,,,,2020-12-28,1A,1A,1A,1A,1A,1A,1B,1B,2,1A,2,1B,1C,1C,2,2,2,2,2,2,2,2,2021-01-14,2021-01-14,2021-01-14,2021-01-14,2021-04-05,2021-04-05,2021-04-19,2021-04-19,2021-04-19,2021-04-19,2021-03-05,2021-03-29,2020-12-15,2021-04-19,True,False,False,False,False,True,False,2020-03-16,,,,,,True,,,,,2020-03-16,,,,2020-03-19,,,,,,,,,,,,2020-03-27,2020-07-25,,,,,,,2020-04-13,,,2020-04-13,,2020-03-25,2020-05-08,,,2020-04-13,True,2020-03-23,,False,2020-03-22,2020-03-20,True,True,False,True,True,True,True,False,False,False,False,False,2020-03-14,,2021-05-01,,,False,True,False,False,2020-03-27,2020-05-26,,,,True,,False,True,False,True,False,True,False,713.0,1313.0,26,26,26,2020-05-03,,,,,,2020-07-05,2021-04-17,,,4400.0,2,0.0,False,26000.0,35300.0,0.4,5.4,395.1,True,True,False,True,True,True,True,False,True,True,True,True,True,,True,False,,,,,,,True,1021.27,8908520,8723.0,8862,4.9,9.5,34.6,75765,220.7,True,False,False,False,False,True,False,,2020-03-16,2020-06-26,,,False,8.85,8.85,10.0,10.0,11.0,11.0,11.0,11.0,3.13,12.0,False
New Mexico,NM,35,2020-03-11,,,2020-03-16,,,2020-03-13,2020-03-24,,,2020-03-24,2020-10-16,2020-05-16,True,2020-05-15,,True,False,False,2020-05-06,2021-05-14,,,,,True,,,False,,,False,True,2020-03-20,2020-05-27,True,2020-03-19,2020-06-01,2020-03-19,2021-03-24,2020-03-19,2021-06-02,2020-06-01,2020-05-16,2020-05-16,2020-11-13,,,,2020-11-16,2020-11-16,2020-07-13,2020-08-29,,2020-12-02,2020-11-30,,,2020-11-16,,2021-03-24,2020-09-04,2020-07-01,2021-02-11,2021-01-28,1A,1A,1A,1A,1A,1A,1B,1B,1A,1B,1B,1B,1C,1B,1B,2,1B,1B,1B,1B,1C,2,2021-01-08,2021-01-08,2021-03-19,2021-03-19,2021-03-19,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-04-05,2021-03-08,2021-01-08,2021-01-08,2021-04-05,False,False,True,False,False,False,False,2020-03-24,,,,,,True,,,,,,,,,2020-03-24,,,,,,,,2020-03-24,,,,,,,,,,,,2020-03-19,,,,,2020-03-27,2020-04-28,2021-01-28,,,True,2020-03-23,,False,2020-03-20,2020-03-20,False,False,False,True,True,True,True,False,True,True,True,True,2020-03-12,2020-03-16,2021-06-14,,,True,False,False,False,2020-03-27,2020-04-30,,2020-12-11,2021-02-05,False,2020-03-15 00:00:00.000000000,True,True,True,True,False,False,False,511.0,1111.0,26,26,26,2020-05-17,,,,,,2021-04-04,,,,2089.72,2,1.0,False,7289.72,25800.0,0.33,5.4,315.11,True,True,False,False,False,False,False,False,True,True,True,True,True,,True,False,,,,,,,True,17.23,2095428,121590.0,3241,6.1,19.5,39.4,19007,388.8,True,True,False,False,False,False,True,2020-10-20,2020-03-16,2021-03-24,,,True,7.5,7.5,7.5,7.5,9.0,9.0,9.0,9.0,2.35,10.5,False
New York,NY,36,2020-03-07,2021-06-25,,2020-03-18,,,2020-03-13,2020-03-22,,2020-06-27,2020-03-22,2020-11-13,2020-06-08,True,2020-04-17,,True,False,False,2020-04-17,2021-05-19,,,,,True,,,True,2020-03-16,2020-03-16,False,True,2020-03-17,2020-06-22,True,2020-03-16,2020-09-02,2020-03-16,2021-03-05,2020-03-16,2021-05-03,2020-06-22,2020-06-22,2020-06-08,2021-05-31,2021-05-31,,,,,,,,,,,,,,,2020-06-25,,2021-06-25,2021-03-03,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,2,1B,1B,1B,2,1B,2,2,2,2021-01-11,2021-01-11,2021-01-11,2021-01-11,2021-03-10,2021-03-23,2021-03-23,2021-03-30,2021-03-30,2021-03-30,2021-01-11,2021-01-11,2021-03-30,2021-04-06,False,False,True,True,True,True,True,2020-03-16,,,,,,True,2020-03-22,2020-07-07,2020-12-28,,2020-03-16,2020-10-12,2020-12-28,2021-02-27,2020-03-16,,,,2020-06-20,,,,2020-06-20,,,,,,,,2020-03-20,2020-08-21,,,2020-06-17,,,2020-06-17,,2020-04-01,2020-05-06,,,,True,2020-03-26,2020-03-16,False,2020-03-15,2020-03-01,False,False,False,False,False,True,True,False,False,False,False,False,2020-03-14,,2020-08-05,2020-12-30,2021-04-28,True,False,False,False,2020-03-20,2020-06-08,,,,False,2020-03-12 00:00:00.000000000,False,False,False,False,False,False,False,504.0,1104.0,26,26,26,2020-05-03,,,,,,2020-07-05,,,,3900.0,2,1300.0,False,11250.0,11600.0,0.0,6.9,333.83,True,True,True,False,False,True,True,False,True,True,False,False,True,1.0,True,False,,,,2020-03-27,,,True,358.21,19542209,54555.0,92091,5.0,13.6,36.9,157183,291.1,True,True,False,False,False,False,True,2020-10-27,2020-03-16,2020-09-09,,,True,11.1,11.1,11.1,11.1,11.8,11.8,11.8,11.8,7.85,12.5,False
North Carolina,NC,37,2020-03-10,,,2020-03-16,,,2020-03-25,2020-03-30,,2020-05-22,2020-03-30,2020-12-11,2020-05-08,True,2020-06-26,,False,True,False,2020-06-26,2021-05-14,,,2021-05-14,,False,,,True,2020-03-17,2020-03-17,True,True,2020-03-18,2020-05-22,False,2020-03-25,2020-09-04,2020-03-25,2020-10-02,2020-03-17,2021-03-26,2020-05-22,2020-05-16,2020-05-08,2021-02-28,,,,,,,,,,,,,,,,,,,2021-04-16,1,1,1,1,1,1,3,3,3,4,4,2,2,4,3,3,3,3,3,3,4,5,2021-01-11,2021-01-11,2021-01-11,2021-01-11,2021-04-07,2021-04-07,2021-04-07,2021-04-07,2021-04-07,2021-04-07,2021-02-24,2021-03-03,2021-03-17,2021-04-07,True,False,False,False,False,False,False,2020-03-16,2020-06-21,2020-10-28,,,,True,2020-05-30,2020-06-20,,,2020-03-16,2020-06-21,,,2020-05-30,2020-07-30,,,,,,,2020-05-30,2020-06-21,2020-10-28,,2020-03-27,2021-01-13,2020-10-30,,2020-05-30,2020-06-21,,,2020-03-19,2020-09-01,,,,2020-03-27,2020-04-16,2021-02-01,2021-05-17,2020-04-13,False,2020-03-23,,False,,2020-03-23,False,False,False,True,True,True,True,False,True,True,True,True,2020-03-13,,2020-10-01,,,False,True,False,False,,,2020-05-01,,,False,2020-03-17 00:00:00.000000000,True,True,True,True,True,False,False,350.0,950.0,12,12,16,2020-05-17,2021-02-20,,6.2,172.0,159.0,2020-07-05,2020-10-10,,,5602.0,2,1.0,True,15600.0,25200.0,0.06,5.76,210.98,True,True,False,False,False,False,False,True,True,True,False,False,False,1.0,True,False,,,,,,,False,192.94,10383620,53819.0,9314,5.0,14.0,39.0,93885,243.6,True,True,False,False,False,False,False,2020-10-27,,,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,2.13,7.25,False
North Dakota,ND,38,2020-03-13,,,2020-03-16,,,2020-04-06,,,,2020-03-20,2020-11-16,2020-05-01,False,2020-11-14,,True,True,False,2020-04-28,2021-01-18,,,2021-01-18,,False,,,True,,,True,False,2020-03-21,2020-05-01,False,2020-03-20,2020-05-01,2020-03-20,2020-05-01,2020-03-20,2020-05-01,2020-05-01,,2020-05-01,2020-12-22,,,,,,,,,,,,,,,,2020-03-28,,2020-09-21,2021-03-08,1A,1A,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1C,1B,2,1C,1C,1C,1C,2,2,2021-01-12,2021-01-12,2021-01-12,2021-01-12,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-02-18,2021-03-08,2021-02-23,2021-03-29,True,False,False,False,False,False,False,2020-03-26,2020-04-22,,,,,False,,,,,2020-03-26,2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-01,2020-05-01,2021-03-10,,,True,2020-03-24,,False,2020-03-20,2020-03-20,False,False,False,True,False,False,True,False,True,False,False,True,2020-03-12,2020-03-12,2020-06-27,2020-07-15,2021-03-29,False,True,False,False,,,,,,False,2020-04-01 00:00:00.000000000,False,True,True,True,False,False,False,618.0,1218.0,26,26,26,2020-05-31,2020-10-03,,6.3,263.0,242.0,,,,2021-06-19,2795.0,2,932.0,False,19500.0,37900.0,0.08,9.69,463.06,True,False,False,False,False,False,False,True,True,True,True,True,True,,False,False,,,,,,,True,10.75,760077,70698.0,557,2.8,10.7,34.6,6445,188.4,True,True,False,False,False,False,True,,,,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,4.86,7.25,False
Ohio,OH,39,2020-03-09,2021-06-18,,2020-03-17,2020-03-26,2020-05-31,2020-03-11,2020-03-24,,2020-05-20,2020-03-24,2020-11-19,2020-05-04,True,2020-07-23,,True,True,False,2020-04-29,2021-05-14,,,2021-06-02,,False,,,True,2020-04-07,2020-04-07,True,True,2020-03-16,2020-05-15,True,2020-03-17,2020-05-22,2020-03-17,2020-06-10,2020-03-15,2020-05-15,2020-05-15,,2020-05-12,2021-02-11,,,,,,,,,,,,,,,,,,,2021-04-09,1A,1A,1A,1A,1A,1A,1C,1C,1C,2,2,1B,1B,1C,1B,2,2,2,2,2,2,2,2021-01-19,2021-01-19,2021-01-19,2021-01-19,2021-03-04,2021-03-11,2021-03-11,2021-03-19,2021-03-19,2021-03-29,2021-02-01,2021-03-29,2021-03-29,2021-03-29,True,False,False,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-31,2020-07-10,,,,2020-03-26,2020-05-11,2021-01-15,,2020-04-13,True,2020-04-22,,False,2020-03-19,2020-03-09,False,False,False,True,True,True,True,False,True,True,True,True,2020-03-10,,2021-04-19,,,False,True,False,False,2020-03-18,2020-05-01,,,,False,2020-03-16 00:00:00.000000000,True,True,True,True,True,False,False,647.0,1247.0,26,26,26,2020-05-10,2020-12-26,,6.7,163.0,152.0,2020-06-07,2020-12-12,,2021-06-26,5390.0,2,1.0,False,31200.0,9000.0,0.3,9.4,320.75,True,False,False,False,False,False,False,True,True,True,False,False,False,7.0,True,True,,,,,,,True,260.77,11689442,44826.0,10345,4.9,13.9,39.8,124264,245.1,True,False,False,False,False,False,False,2020-10-31,,,,,False,8.55,8.55,8.55,8.55,8.7,8.7,8.7,8.7,4.35,8.8,True
Oklahoma,OK,40,2020-03-15,2021-05-04,,2020-03-17,,,2020-03-24,,2020-04-01,2020-05-15,2020-04-01,2020-11-19,2020-04-24,False,,,False,False,True,,,,,,,False,,2021-06-01,True,2020-03-23,2020-03-24,True,True,2020-04-01,2020-05-01,False,2020-04-01,2020-05-01,2020-04-01,2020-05-01,2020-04-01,2020-05-15,2020-04-24,2020-05-01,2020-04-24,2021-01-14,,,,,,,,,,,,,,,,2020-03-29,,2020-05-12,2020-12-10,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,2021-01-04,2021-01-04,2021-01-04,2021-01-04,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-03-29,2021-02-22,2021-03-09,2021-03-09,2021-03-29,True,False,False,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,2020-03-27,,,,,,,,,,,,,2020-03-30,2020-06-25,,,2020-04-13,False,2020-03-24,,False,2020-03-25,2020-03-16,False,False,False,True,False,True,False,False,True,False,True,False,2020-03-13,,2020-07-30,2020-09-30,2021-04-01,False,True,False,False,2020-03-24,2020-04-30,,,,False,2020-03-21 00:00:00.000000000,True,True,True,False,False,False,False,539.0,1139.0,26,26,26,2020-05-31,2020-12-12,,5.7,173.0,178.0,,,,2021-06-26,1500.0,2,500.0,False,10350.0,18700.0,0.1,5.5,336.19,True,False,False,False,False,False,False,True,True,True,False,False,True,,False,True,,,,,,,False,56.41,3943079,69899.0,3944,4.4,15.6,40.8,40933,401.4,True,True,False,True,False,False,False,2020-10-27,,,,,False,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,2.13,7.25,True
